Topic,Task
1,"Сформулировать различия между видами трофических взаимодействий между организмами, привести примеры (учесть не только прямые, но и опосредованные трофические взаимодействия)"
1,Необходимые условия конкуренции и как их можно обойти (примеры по растительности и животному населению).
1,Проявления прошедшей конкуренции в составе или структуре сообществ (примеры по растительности и животному населению).
1,Приспособительные взаимоотношения организмов: причины отрицательного и положительного одностороннего не аллелопатического влияния.
1,"Взаимоблагоприятствование (опосредованное): причины, механизмы, участники, примеры по растительности и животному населению."
3,Приспособления организмов к жизни в планктоне
3,Приспособления организмов к жизни в бентосе
3,Типы питания гидробионтов
3,Роль макрофитов в ремедиации водоемов
4,Различные формы полифенизма и их значение.
4,Норма реакции организма как характеристика возможностей его фенотипической адаптации к действию экологических факторов.
4,Мюллеровская мимикрия
4,Бейтсовская мимикрия и ее значение
6,Расчёт суммы градусо-дней и её биологический смысл
6,Наблюдаемые экологические последствия глобального изменения климата
6,Экологические группы организмов по отношению к температуре: преимущества и недостатки имеющихся классификаций
6,Термолабильность процессов развития и её адаптивная роль
6,Как организовать эксперимент по изучению влияния температуры на развитие?
5,"Вы обнаружили рачка, который регулярно обнаруживается в мантийной полости двустворчатого моллюска. Какие гипотезы нужно проверить, чтобы верно охарактеризовать тип их взаимоотношений? Предложите дизайн лабораторных исследований и полевых экспериментов для проверки этих гипотез."
5,"Опишите несколько примеров того, как паразиты могут влиять на структуру сообществ."
5,"Одно из определений паразитизма включает понятия вреда и пользы. Что бы вы включили в эти понятия, чтобы их можно было оценить научными методами?"
5," Трематода на стадии метацеркарии паразитирует в двустворчатом моллюске, который обитает на илисто-песчаной литорали в толще грунта. Оказалось, что моллюски с высокой интенсивностью инвазии часто оказываются на поверхности грунта. Предложите две гипотезы, которые могли бы это объяснить, и способы их проверить."
2,Изменение энергетики и продуктивности сообщества в ходе сукцессии.
2,"Раскройте смысл фразы «Сукцессия управляется самим сообществом», приведите примеры."
2,Может ли человек управлять сукцессиями? Поясните свою позицию. 
2, Эндоэкогенетическая обусловленность сукцессий. 
2,Эвтрофирование водоема как модель развития сукцессионных процессов
